datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO
2026-03-26 03:00:00,9.2,100,9.3,68.24000000000001,91.21333333333334,55.013333333333335,40.99999999999999,2.0,0.6653333333333332
2026-03-26 04:00:00,9.4,100,8.8,67.14666666666668,91.10000000000001,55.553333333333335,40.30666666666666,2.0,0.5653333333333332
2026-03-26 05:00:00,10.0,99,8.5,63.95333333333334,88.52000000000001,58.906666666666666,37.43999999999999,2.0,0.46533333333333327
2026-03-26 06:00:00,11.2,92,8.7,59.95333333333334,83.91333333333334,65.70666666666666,32.71999999999999,2.0,0.38199999999999995
2026-03-26 07:00:00,12.8,85,10.3,55.95333333333334,75.81333333333335,72.50666666666666,27.999999999999993,2.0,0.30066666666666664
2026-03-26 08:00:00,14.4,78,10.4,51.95333333333334,67.71333333333335,79.30666666666666,23.22666666666666,2.0,0.21933333333333332
2026-03-26 09:00:00,16.0,71,11.2,47.95333333333334,59.493333333333354,86.20666666666666,18.453333333333326,2.0,0.142
2026-03-26 10:00:00,17.4,65,10.2,43.95333333333334,51.486666666666686,93.18666666666667,13.679999999999993,2.1733333333333333,0.06466666666666668
2026-03-26 11:00:00,18.5,60,9.4,39.95333333333334,47.26000000000002,91.45,24.483333333333334,2.2733333333333334,0.3
2026-03-26 12:00:00,19.2,57,8.6,36.760000000000005,43.10666666666668,95.46333333333334,22.2,2.3733333333333335,0.26
2026-03-26 13:00:00,19.5,56,7.3,35.760000000000005,40.88000000000002,98.71666666666667,21.2,2.4200000000000004,0.25
2026-03-26 14:00:00,19.6,55,5.2,35.37333333333334,40.72666666666668,98.88333333333334,20.56,2.4666666666666672,0.22066666666666665
2026-03-26 15:00:00,19.3,57,2.3,36.37333333333334,42.65333333333335,97.88333333333334,21.56,2.513333333333334,0.256
2026-03-26 16:00:00,18.5,60,2.6,39.37333333333334,46.65333333333335,93.41666666666667,24.56,2.6066666666666674,0.356
2026-03-26 17:00:00,17.2,66,6.2,43.686666666666675,52.280000000000015,87.85666666666667,29.02,3.0066666666666673,0.45466666666666666
2026-03-26 18:00:00,15.5,74,5.7,49.220000000000006,60.46666666666668,80.17,35.166666666666664,3.0066666666666673,0.5546666666666668
2026-03-26 19:00:00,13.8,82,4.5,55.02666666666667,68.79333333333335,73.93,41.166666666666664,3.0066666666666673,0.5733333333333334
2026-03-26 20:00:00,12.3,88,4.9,59.24666666666667,74.78000000000002,69.05666666666667,45.50666666666666,3.0066666666666673,0.5853333333333334
2026-03-26 21:00:00,11.2,92,10.6,61.29333333333334,77.82000000000002,67.05666666666667,47.57999999999999,3.0066666666666673,0.6753333333333333
2026-03-26 22:00:00,10.5,96,19.7,63.300000000000004,80.86000000000003,65.07666666666667,49.65333333333332,3.0066666666666673,0.7486666666666667
2026-03-26 23:00:00,10.1,98,20.6,65.86,89.92,58.0,37.986666666666665,2.0,0.48733333333333334
2026-03-27 00:00:00,9.8,100,18.7,66.72,91.07333333333334,57.0,38.97333333333333,2.0,0.5106666666666666
2026-03-27 01:00:00,9.6,100,14.7,67.56,92.11333333333334,56.0,39.959999999999994,2.0,0.5586666666666666
2026-03-27 02:00:00,9.4,100,12.8,68.37333333333333,93.07333333333334,55.0,40.94666666666666,2.0,0.5733333333333333
2026-03-27 03:00:00,9.3,100,13.6,69.21333333333334,93.21333333333334,54.013333333333335,40.99999999999999,2.0,0.6679999999999999
2026-03-27 04:00:00,9.5,100,14.0,68.12,93.10000000000001,54.553333333333335,40.30666666666666,2.0,0.5679999999999998
2026-03-27 05:00:00,10.1,99,12.0,64.92666666666668,90.52000000000001,57.906666666666666,37.43999999999999,2.0,0.46799999999999986
2026-03-27 06:00:00,11.3,92,9.4,60.92666666666668,85.91333333333334,64.70666666666666,32.71999999999999,2.0,0.38466666666666655
2026-03-27 07:00:00,12.9,85,7.9,56.92666666666668,77.81333333333335,71.50666666666666,27.999999999999993,2.0,0.30333333333333323
2026-03-27 08:00:00,14.5,78,6.9,52.92666666666668,69.71333333333335,78.30666666666666,23.22666666666666,2.0,0.22199999999999995
2026-03-27 09:00:00,16.1,71,5.2,48.92666666666668,61.493333333333354,85.20666666666666,18.453333333333326,2.0,0.14466666666666664
2026-03-27 10:00:00,17.5,65,7.6,44.92666666666668,53.486666666666686,92.17333333333333,13.679999999999993,2.1733333333333333,0.0673333333333333
2026-03-27 11:00:00,18.6,60,6.8,40.92666666666668,49.26000000000002,91.45,24.483333333333334,2.2733333333333334,0.3
2026-03-27 12:00:00,19.3,57,4.8,37.73333333333334,45.10666666666668,95.46333333333334,22.2,2.3733333333333335,0.26
2026-03-27 13:00:00,19.6,56,4.5,36.73333333333334,42.88000000000002,98.71666666666667,21.2,2.4200000000000004,0.25
2026-03-27 14:00:00,19.7,55,7.1,36.34666666666668,42.72666666666668,98.88333333333334,20.56,2.4666666666666672,0.22066666666666665
2026-03-27 15:00:00,19.4,57,8.6,37.34666666666668,44.65333333333335,97.88333333333334,21.56,2.513333333333334,0.256
2026-03-27 16:00:00,18.6,60,8.5,40.34666666666668,48.65333333333335,93.41666666666667,24.56,2.6066666666666674,0.356
2026-03-27 17:00:00,17.3,66,11.2,44.66000000000001,54.280000000000015,87.85666666666667,29.02,3.0066666666666673,0.45466666666666666
2026-03-27 18:00:00,15.6,74,11.8,50.19333333333334,62.46666666666668,80.17,35.166666666666664,3.0066666666666673,0.5546666666666668
2026-03-27 19:00:00,13.9,82,12.8,56.00000000000001,70.79333333333335,73.93,41.166666666666664,3.0066666666666673,0.5733333333333334
2026-03-27 20:00:00,12.4,88,12.4,60.24000000000001,76.78000000000002,69.05666666666667,45.50666666666666,3.0066666666666673,0.5853333333333334
2026-03-27 21:00:00,11.3,92,12.0,62.286666666666676,79.82000000000002,67.05666666666667,47.57999999999999,3.0066666666666673,0.6753333333333333
2026-03-27 22:00:00,10.6,96,11.3,64.30000000000001,82.86000000000003,65.05666666666667,49.65333333333332,3.0066666666666673,0.7486666666666667
2026-03-27 23:00:00,10.2,98,10.4,66.84666666666666,91.92,57.0,37.986666666666665,2.0,0.48733333333333334
2026-03-28 00:00:00,9.9,100,8.6,67.69333333333333,93.07333333333334,56.0,38.97333333333333,2.0,0.5106666666666666
2026-03-28 01:00:00,9.7,100,4.2,68.53999999999999,94.11333333333334,55.0,39.959999999999994,2.0,0.5573333333333332
2026-03-28 02:00:00,9.5,100,1.4,69.35333333333332,95.07333333333334,54.0,40.94666666666666,2.0,0.5706666666666667
2026-03-28 03:00:00,9.4,100,0.4,70.16666666666666,95.21333333333334,53.013333333333335,40.99999999999999,2.0,0.6653333333333332
2026-03-28 04:00:00,9.6,100,0.3,69.07333333333332,95.10000000000001,53.553333333333335,40.30666666666666,2.0,0.5653333333333332
2026-03-28 05:00:00,10.2,99,1.6,65.88,92.52000000000001,56.906666666666666,37.40666666666666,1.9933333333333334,0.46533333333333327
2026-03-28 06:00:00,11.4,92,3.1,61.879999999999995,87.91333333333334,63.70666666666666,32.68666666666666,1.9933333333333334,0.38199999999999995
2026-03-28 07:00:00,13.0,85,4.2,57.879999999999995,79.81333333333335,70.50666666666666,27.96666666666666,1.9933333333333334,0.30066666666666664
2026-03-28 08:00:00,14.6,78,2.9,53.879999999999995,71.71333333333335,77.30666666666666,23.193333333333328,1.9933333333333334,0.21933333333333332
2026-03-28 09:00:00,16.2,71,2.9,49.879999999999995,63.493333333333354,84.20666666666666,18.419999999999995,1.9933333333333334,0.142
2026-03-28 10:00:00,17.6,65,3.5,45.879999999999995,55.486666666666686,91.13333333333333,13.646666666666661,2.166666666666667,0.06466666666666668
2026-03-28 11:00:00,18.7,60,2.0,41.879999999999995,51.26000000000002,91.45,24.483333333333334,2.266666666666667,0.3
2026-03-28 12:00:00,19.4,57,4.7,38.68666666666666,47.10666666666668,95.46333333333334,22.2,2.366666666666667,0.26
2026-03-28 13:00:00,19.7,56,8.3,37.68666666666666,44.88000000000002,98.71666666666667,21.2,2.413333333333334,0.25
2026-03-28 14:00:00,19.8,55,10.0,37.3,44.72666666666668,98.88333333333334,20.56,2.460000000000001,0.22066666666666665
2026-03-28 15:00:00,19.5,57,10.8,38.3,46.65333333333335,97.88333333333334,21.56,2.5066666666666677,0.256
2026-03-28 16:00:00,18.7,60,11.8,41.3,50.65333333333335,93.41666666666667,24.56,2.600000000000001,0.356
2026-03-28 17:00:00,17.4,66,11.6,45.61333333333333,56.280000000000015,87.85666666666667,29.02,3.000000000000001,0.45466666666666666
2026-03-28 18:00:00,15.7,74,8.2,51.14666666666666,64.46666666666668,80.17,35.166666666666664,3.000000000000001,0.5546666666666668
2026-03-28 19:00:00,14.0,82,5.5,56.953333333333326,72.79333333333335,73.93,41.166666666666664,3.000000000000001,0.5733333333333334
2026-03-28 20:00:00,12.5,88,1.0,61.206666666666656,78.78000000000002,69.05666666666667,45.50666666666666,3.000000000000001,0.5853333333333334
2026-03-28 21:00:00,11.4,92,3.5,63.23999999999999,81.82000000000002,67.05666666666667,47.57999999999999,3.000000000000001,0.6753333333333333
2026-03-28 22:00:00,10.7,96,1.6,65.28666666666666,84.86000000000003,65.05666666666667,49.65333333333332,3.000000000000001,0.7486666666666667
2026-03-28 23:00:00,10.3,98,0.8,67.84666666666666,93.92,56.0,37.986666666666665,2.0,0.48733333333333334
2026-03-29 00:00:00,10.0,100,0.6,68.67999999999999,95.07333333333334,55.0,38.97333333333333,2.0,0.5106666666666666
